ARCHIVO;TIMES;OPT;timed;timef
quadatric2;200;-Os;19,944473;19,866002
quadatric2;200;-O1;13,301095;12,322555
quadatric2;200;-O2;13,040814;11,959449
quadatric2;200;-O3;13,156615;11,959081
quadatric2;300;-Os;29,928091;31,099856
quadatric2;300;-O1;19,901656;18,414076
quadatric2;300;-O2;19,548121;17,937295
quadatric2;300;-O3;19,734806;17,936762
quadatric2;400;-Os;39,878865;39,804586
quadatric2;400;-O1;26,546625;24,615682
quadatric2;400;-O2;26,012098;23,919501
quadatric2;400;-O3;26,258867;23,913373
quadatric2;500;-Os;49,884311;49,713931
quadatric2;500;-O1;33,199030;30,800556
quadatric2;500;-O2;32,595359;29,910101
quadatric2;500;-O3;32,867026;29,886606
quadatric2;600;-Os;59,847283;59,769935
quadatric2;600;-O1;39,918676;37,064236
quadatric2;600;-O2;39,187025;36,000756
quadatric2;600;-O3;39,477710;35,958007
quadatric2;700;-Os;69,877158;69,787845
quadatric2;700;-O1;46,335102;43,156742
quadatric2;700;-O2;45,628117;41,978423
quadatric2;700;-O3;45,948643;41,886950
quadatric2;800;-Os;79,850866;79,990631
quadatric2;800;-O1;52,954711;49,404036
quadatric2;800;-O2;52,393537;47,976711
quadatric2;800;-O3;52,565116;47,903050
quadatric2;900;-Os;89,947912;88,702817
quadatric2;900;-O1;59,853829;55,441510
quadatric2;900;-O2;58,664539;54,005746
quadatric2;900;-O3;59,255513;53,788808
quadatric2;1000;-Os;99,737506;100,614505
quadatric2;1000;-O1;66,066624;61,432933
quadatric2;1000;-O2;65,174922;59,864925
quadatric2;1000;-O3;65,452425;59,785658
quadatric3;200;-Os;19,947715;12,522760
quadatric3;200;-O1;13,196278;6,884963
quadatric3;200;-O2;12,980873;6,800448
quadatric3;200;-O3;13,046728;6,781309
quadatric3;300;-Os;29,922874;21,758245
quadatric3;300;-O1;19,826325;10,298972
quadatric3;300;-O2;19,566344;10,274282
quadatric3;300;-O3;19,593463;10,157632
quadatric3;400;-Os;40,994840;33,001918
quadatric3;400;-O1;26,354850;13,793249
quadatric3;400;-O2;26,086406;13,787810
quadatric3;400;-O3;26,066194;13,576827
quadatric3;500;-Os;49,949952;36,162567
quadatric3;500;-O1;32,873614;17,246882
quadatric3;500;-O2;32,560659;17,025216
quadatric3;500;-O3;32,585340;16,994316
quadatric3;600;-Os;59,836880;37,503594
quadatric3;600;-O1;39,338258;20,963862
quadatric3;600;-O2;39,210711;20,343630
quadatric3;600;-O3;39,010635;20,619401
quadatric3;700;-Os;69,821404;43,764729
quadatric3;700;-O1;46,012798;24,294481
quadatric3;700;-O2;46,035412;23,965057
quadatric3;700;-O3;45,453908;23,891956
quadatric3;800;-Os;79,862581;50,011209
quadatric3;800;-O1;52,505396;27,711794
quadatric3;800;-O2;52,494406;27,267274
quadatric3;800;-O3;51,959078;27,283002
quadatric3;900;-Os;89,886941;56,321183
quadatric3;900;-O1;59,172534;31,420726
quadatric3;900;-O2;59,317905;30,605694
quadatric3;900;-O3;58,416838;30,818498
quadatric3;1000;-Os;100,276511;62,492318
quadatric3;1000;-O1;65,747546;34,871017
quadatric3;1000;-O2;66,053491;33,715216
quadatric3;1000;-O3;65,139760;34,328336
