TIMES,quadatric2,quadatric3
100,6.533267,5.988064
200,13.179886,11.989497
300,19.601477,17.964609
400,26.347396,23.968195
500,32.648714,29.938936
600,39.369744,35.962166
700,45.913390,41.920446
800,52.716564,47.954078
900,59.065155,53.878903
1000,65.943124,59.918343
100,6.572730,3.418973
200,13.205707,6.877642
300,19.711148,10.278604
400,26.387923,13.883636
500,32.881079,17.097274
600,39.582181,20.825245
700,45.941945,24.047454
800,52.774868,27.769578
900,59.150783,30.941096
1000,65.975089,34.716983
